Brand Names,Yarn Names,Weight,Texture,Fiber,Needles,Gauge,Balls
Bernat,Crushed Velvet,Bulky / Chunky,Chenille,Polyester (100%),5mm(8 US)(6 UK),"15 sts / 10 cm (4"") and 25 rows",300g; 288m (315 yds)
Bernat,Fabwoolous,Aran / Medium,Plied (3 or more plies),"Acrylic (80%),Superwash Wool (20%)",5mm(8 US)(6 UK),"18 sts / 10 cm (4"") and 24 rows",170g; 280m (306 yds)
Bernat,Forever Fleece,Super Bulky / Super Chunky,Fleece-effect single ply,Polyester (100%),9mm(13 US)(00 UK),"10 sts / 10 cm (4"") and 12 rows",280g; 177m (194 yds)
Bernat,Giggles,Aran / Medium,Plied (3 or more plies),"Acrylic (90%),Nylon (10%)",5mm(8 US)(6 UK),"18 sts / 10 cm (4"")",100g; 169m (185 yds)
Bernat,Handicrafter Cotton,Worsted / Medium,Plied (3 or more plies),Cotton (100%),4.5mm(7 US)(7 UK),"20 sts / 10 cm (4"") and 26 rows",(Varies)
Bernat,Happy Holidays,Aran / Medium,Single ply wrapped with fine thread,"Acrylic (98%),Metallic (2%)",5mm(8 US)(6 UK),"18 sts / 10 cm (4"")",100g; 219m (240 yds)
Bernat,Maker,Bulky / Chunky,Filled tube,"Cotton (72%),Nylon (28%)",8mm(11 US)(0 UK),"13 sts / 10 cm (4"") and 17 rows",(Varies)
Bernat,Maker Big,Jumbo / Without needles,Filled tube,"Cotton (50%),Nylon (50%)",12mm(17 US)( UK),"6 sts / 10 cm (4"") and 8 rows",250g; 70m (77 yds)
Bernat,Pipsqueak,Super Bulky / Super Chunky,Fleece style,Polyester (100%),5.5mm(9 US)(5 UK),"11 sts / 10 cm (4"") and 16 rows",(Varies)
Bernat,Plush Big,Jumbo / Without needles,Filled tube,Polyester (100%),25mm(50 US)( UK),"4 sts / 10 cm (4"") and 5 rows",500g; 41m (45 yds)
Bernat,Premium,Aran / Medium,Plied (3 or more plies),Acrylic (100%),5mm(8 US)(6 UK),"18 sts / 10 cm (4"") and 24 rows",198g; 329m (360 yds)
Bernat,Premium Tweeds,Aran / Medium,Nubby / Tweedy,"Acrylic (97%),Viscose (3%)",5mm(8 US)(6 UK),"18 sts / 10 cm (4"") and 24 rows",198g; 329m (360 yds)
Bernat,Satin,Aran / Medium,Plied (3 or more plies),Acrylic (100%),5mm(8 US)(6 UK),"18 sts / 10 cm (4"") and 24 rows",100g; 183m (200 yds)
Bernat,Sheepy,Super Bulky / Super Chunky,Fleece style,Nylon (100%),8mm(11 US)(0 UK),"9 sts / 10 cm (4"") and 10 rows",250g; 136m (149 yds)
Bernat,Softee Baby,DK / Light,Plied (3 or more plies),Acrylic (100%),4mm(6 US)(8 UK),"22 sts / 10 cm (4"") and 30 rows",(Varies)
Bernat,Softee Baby Cotton,DK / Light,S on S plied,"Cotton (60%),Acrylic (40%)",4mm(6 US)(8 UK),"22 sts / 10 cm (4"") and 28 rows",120g; 232m (254 yds)
Bernat,Softee Chunky (2012 version),Super Bulky / Super Chunky,Plied (3 or more plies),Acrylic (100%),8mm(11 US)(0 UK),"11 sts / 10 cm (4"") and 14 rows",(Varies)
Bernat,Softee Cotton,DK / Light,S on S plied,"Cotton (60%),Acrylic (40%)",4mm(6 US)(8 UK),"22 sts / 10 cm (4"") and 28 rows",120g; 232m (254 yds)
Bernat,Super Value,Aran / Medium,Plied (3 or more plies),Acrylic (100%),5mm(8 US)(6 UK),"18 sts / 10 cm (4"") and 24 rows",(Varies)
Bernat,Symphony,Bulky / Chunky,Single ply,"Acrylic (80%),Superwash Wool (20%)",6.5mm(10.5 US)(3 UK),"13 sts / 10 cm (4"") and 18 rows",225g; 282m (308 yds)
Bernat,Velvet,Bulky / Chunky,Chenille,Polyester (100%),6.5mm(10.5 US)(3 UK),"12 sts / 10 cm (4"") and 17 rows",300g; 288m (315 yds)
Bernat,Velvet Plus,Super Bulky / Super Chunky,Chenille,Polyester (100%),9mm(13 US)(00 UK),"7 sts / 10 cm (4"") and 10 rows",300g; 71m (78 yds)
Bernat,Viva,Super Bulky / Super Chunky,Fuzzy chain,"Acrylic (82%),Nylon (18%)",8mm(11 US)(0 UK),"11 sts / 10 cm (4"") and 15 rows",100g; 77m (84 yds)
Bernat,Wavelength,Bulky / Chunky,2 ply,Acrylic (100%),6mm(10 US)(4 UK),"14 sts / 10 cm (4"") and 20 rows",140g; 204m (223 yds)
Berroco,Aerial,Lace,Brushed bouclé (fuzzy / fluffy),"Superkid Mohair (65%),Silk (35%)",2.75mm(2 US)(12 UK)5mm(8 US)(6 UK),(Unknown),25g; 260m (284 yds)
Berroco,Carousel,Sport / Fine,Plied (3 or more plies),"Superwash Wool (52%),Acrylic (48%)",3.5mm(4 US)( UK)4mm(6 US)(8 UK),"24-27 sts / 10 cm (4"")",100g; 380m (416 yds)
Berroco,Chai,Worsted / Medium,Nubby / Tweedy,"Linen (56%),Silk (44%)",4mm(6 US)(8 UK)5mm(8 US)(6 UK),"19-21 sts / 10 cm (4"") and 27 rows",50g; 130m (142 yds)
Berroco,Coco,Super Bulky / Super Chunky,Single ply wrapped with fine thread,Merino Superwash Wool (100%),10mm(15 US)(000 UK),"10 sts / 10 cm (4"") and 14 rows",100g; 70m (77 yds)
Berroco,Comfort,Worsted / Medium,Crepe / Cable-plied,"Acrylic (50%),Nylon (50%)",5mm(8 US)(6 UK)5.5mm(9 US)(5 UK),"18-20 sts / 10 cm (4"")",100g; 193m (211 yds)
Berroco,Comfort Chunky,Bulky / Chunky,Crepe / Cable-plied,"Acrylic (50%),Nylon (50%)",6.5mm(10.5 US)(3 UK),"14 sts / 10 cm (4"")",100g; 137m (150 yds)
Berroco,Comfort DK,DK / Light,Crepe / Cable-plied,"Acrylic (50%),Nylon (50%)",3.75mm(5 US)(9 UK)4mm(6 US)(8 UK),"22-24 sts / 10 cm (4"")",50g; 165m (180 yds)
Berroco,Comfort Sock,Light Fingering,Crepe / Cable-plied,"Acrylic (50%),Nylon (50%)",3.25mm(3 US)(10 UK),"30 sts / 10 cm (4"") and 40 rows",100g; 412m (451 yds)
Berroco,Dash,Super Bulky / Super Chunky,Chained,"Merino Wool (92%),Nylon (8%)",9mm(13 US)(00 UK)10mm(15 US)(000 UK),"11-12 sts / 10 cm (4"") and 17 rows",100g; 210m (230 yds)
Berroco,Dulce,Worsted / Medium,Fuzzy / Fluffy,"Cotton (50%),Nylon (20%),Alpaca (16%),Wool (14%)",4.5mm(7 US)(7 UK),"19 sts / 10 cm (4"") and 26 rows",50g; 160m (175 yds)
Berroco,Fika,DK / Light,Nubby / Tweedy,Merino Superwash Wool (100%),4mm(6 US)(8 UK)4.5mm(7 US)(7 UK),"21-23 sts / 10 cm (4"")",100g; 275m (301 yds)
Berroco,Gaia,Worsted / Medium,Nubby / Tweedy,"Cotton (70%),Polyester (30%)",4mm(6 US)(8 UK),"20 sts / 10 cm (4"") and 24 rows",50g; 128m (140 yds)
Berroco,Isola,DK / Light,Slubby tweed,"Cotton (38%),Linen (36%),Viscose (26%)",3.75mm(5 US)(9 UK)4mm(6 US)(8 UK),"21-22 sts / 10 cm (4"") and 30 rows",100g; 260m (284 yds)
Berroco,Lanas,Worsted / Medium,Plied (3 or more plies),Wool (100%),4.5mm(7 US)(7 UK)5mm(8 US)(6 UK),"18-20 sts / 10 cm (4"")",100g; 200m (219 yds)
Berroco,Lanas Light,Sport / Fine,2 ply,Wool (100%),3.5mm(4 US)( UK)4mm(6 US)(8 UK),"22-25 sts / 10 cm (4"")",100g; 350m (383 yds)
Berroco,Lanas Quick,Super Bulky / Super Chunky,2 ply,Wool (100%),8mm(11 US)(0 UK),"12 sts / 10 cm (4"") and 16 rows",100g; 100m (109 yds)
Berroco,Lucca,Worsted / Medium,S on S plied,"Cashmere (50%),Cotton (50%)",4.5mm(7 US)(7 UK),"20 sts / 10 cm (4"") and 28 rows",50g; 143m (156 yds)
Berroco,Lumi,Worsted / Medium,Wrap around inner core,"Cotton (80%),Polyester (18%),Metallic (2%)",3.75mm(5 US)(9 UK),"20 sts / 10 cm (4"") and 24 rows",50g; 125m (137 yds)
Berroco,Macro,Jumbo / Without needles,Single ply,"Wool (50%),Acrylic (40%),Alpaca (10%)",15mm(18 US)( UK),"6 sts / 10 cm (4"") and 8 rows",250g; 102m (112 yds)
Berroco,Medina,DK / Light,Plied (3 or more plies),"Cotton (37%),Acrylic (36%),Viscose (27%)",4mm(6 US)(8 UK),"22 sts / 10 cm (4"") and 28 rows",100g; 270m (295 yds)
Berroco,Meraki,DK / Light,Slubby tweed,"Cotton (71%),Hemp (24%),Polyester (5%)",3.75mm(5 US)(9 UK)4mm(6 US)(8 UK),"21-22 sts / 10 cm (4"") and 30 rows",50g; 120m (131 yds)
Berroco,Mercado,Heavy Worsted,2 ply,Highland Wool (100%),4mm(6 US)(8 UK)5mm(8 US)(6 UK),"15-16 sts / 10 cm (4"") and 19 rows",100g; 150m (164 yds)
Berroco,Millefiori Light,Sport / Fine,Single ply,"Acrylic (50%),Wool (50%)",3.5mm(4 US)( UK)3.75mm(5 US)(9 UK),"24 sts / 10 cm (4"") and 32 rows",100g; 320m (350 yds)
Berroco,Mistico,Worsted / Medium,Fuzzy / Fluffy,"Cotton (48%),Alpaca (30%),Wool (12%),Nylon (10%)",3.75mm(5 US)(9 UK)5mm(8 US)(6 UK),"17-21 sts / 10 cm (4"")",50g; 175m (191 yds)
Berroco,Mochi,Heavy Worsted,Blown / Fiber-filled net,"Baby Alpaca (37%),Nylon (35%),Merino Wool (26%),Synthetic (2%)",5.5mm(9 US)(5 UK),"16 sts / 10 cm (4"") and 24 rows",50g; 175m (191 yds)
Berroco,Modern Cotton,Worsted / Medium,S on S plied,"Cotton (60%),Rayon (40%)",4.5mm(7 US)(7 UK),"20 sts / 10 cm (4"") and 26 rows",100g; 191m (209 yds)
Berroco,Modern Cotton DK,DK / Light,S on S plied,"Cotton (60%),Rayon (40%)",3.75mm(5 US)(9 UK),"23 sts / 10 cm (4"") and 32 rows",100g; 306m (335 yds)
Berroco,Pima 100,Worsted / Medium,Plied (3 or more plies),Cotton (100%),4mm(6 US)(8 UK),"20 sts / 10 cm (4"") and 28 rows",100g; 200m (219 yds)
Berroco,Pima Soft,DK / Light,2 ply,Cotton (100%),3.75mm(5 US)(9 UK)4mm(6 US)(8 UK),"21-22 sts / 10 cm (4"") and 29 rows",50g; 113m (124 yds)
Berroco,Remix,Aran / Medium,Nubby / Tweedy,"Nylon (30%),Cotton (27%),Acrylic (24%),Silk (10%),Linen (9%)",5mm(8 US)(6 UK),"17 sts / 10 cm (4"")",100g; 198m (217 yds)
Berroco,Remix Chunky,Bulky / Chunky,Nubby / Tweedy,"Nylon (30%),Cotton (27%),Acrylic (24%),Silk (10%),Linen (9%)",6mm(10 US)(4 UK),"14 sts / 10 cm (4"") and 20 rows",100g; 127m (139 yds)
Berroco,Remix Light,DK / Light,Nubby / Tweedy,"Nylon (30%),Cotton (27%),Acrylic (24%),Silk (10%),Linen (9%)",3.75mm(5 US)(9 UK),"22-28 sts / 10 cm (4"") and 32 rows",100g; 400m (437 yds)
Berroco,Renew,Worsted / Medium,Plied (3 or more plies),"Viscose (35%),Nylon (30%),Wool (30%),Cashmere (5%)",4mm(6 US)(8 UK)4.5mm(7 US)(7 UK),"19-21 sts / 10 cm (4"")",50g; 150m (164 yds)
Berroco,Sesame,Worsted / Medium,Nubby / Tweedy,"Superwash Wool (43%),Acrylic (39%),Cotton (9%),Nylon (9%)",4.5mm(7 US)(7 UK),"19-20 sts / 10 cm (4"") and 25 rows",100g; 210m (230 yds)
Berroco,Sox,Light Fingering,Plied (3 or more plies),"Superwash Wool (75%),Nylon (25%)",2.75mm(2 US)(12 UK),"30 sts / 10 cm (4"")",100g; 402m (440 yds)
Berroco,Splash,DK / Light,Chained,"Viscose (70%),Organic Cotton (30%)",4mm(6 US)(8 UK)4.5mm(7 US)(7 UK),"21-23 sts / 10 cm (4"")",50g; 120m (131 yds)
Berroco,Spree DK,DK / Light,Plied (3 or more plies),"Wool (56%),Cotton (44%)",3.75mm(5 US)(9 UK)4mm(6 US)(8 UK),"21-23 sts / 10 cm (4"") and 29 rows",50g; 130m (142 yds)
Berroco,Summer Sesame,Worsted / Medium,Nubby / Tweedy,"Cotton (47%),Acrylic (44%),Nylon (9%)",4mm(6 US)(8 UK)4.5mm(7 US)(7 UK),"20-21 sts / 10 cm (4"") and 29 rows",100g; 270m (295 yds)
Berroco,Talara,Aran / Medium,Chained,Llama (100%),5.5mm(9 US)(5 UK)6mm(10 US)(4 UK),"18-19 sts / 10 cm (4"")",50g; 120m (131 yds)
Berroco,Tiramisu,Worsted / Medium,Single ply,"Wool (38%),Acrylic (28%),Superkid Mohair (23%),Silk (11%)",4.5mm(7 US)(7 UK)5mm(8 US)(6 UK),"18-20 sts / 10 cm (4"") and 25 rows",50g; 125m (137 yds)
Berroco,Ultra Alpaca,Worsted / Medium,Plied with a soft haze,"Highland Wool (50%),Superfine Alpaca (50%)",4.5mm(7 US)(7 UK)5mm(8 US)(6 UK),"20 sts / 10 cm (4"") and 26 rows",(Varies)
Berroco,Ultra Alpaca Chunky,Bulky / Chunky,2 ply,"Alpaca (50%),Highland Wool (50%)",6mm(10 US)(4 UK),"14 sts / 10 cm (4"") and 20 rows",100g; 120m (131 yds)
Berroco,Ultra Alpaca Light,Sport / Fine,Plied with a soft haze,"Alpaca (50%),Highland Wool (50%)",3.75mm(5 US)(9 UK),"23 sts / 10 cm (4"") and 32 rows",50g; 133m (145 yds)
Berroco,Ultra Wool,Worsted / Medium,Plied (3 or more plies),Superwash Wool (100%),4.5mm(7 US)(7 UK)5mm(8 US)(6 UK),"18-20 sts / 10 cm (4"") and 25 rows",100g; 200m (219 yds)
Berroco,Ultra Wool Chunky,Bulky / Chunky,Plied (3 or more plies),Superwash Wool (100%),6.5mm(10.5 US)(3 UK),"14 sts / 10 cm (4"") and 20 rows",100g; 133m (145 yds)
Berroco,Ultra Wool DK,DK / Light,Plied (3 or more plies),Superwash Wool (100%),4mm(6 US)(8 UK),"23 sts / 10 cm (4"") and 30 rows",100g; 267m (292 yds)
Berroco,Ultra Wool Fine,Fingering / 4-ply / Super Fine,Plied (3 or more plies),Superwash Wool (100%),2.75mm(2 US)(12 UK)3.25mm(3 US)(10 UK),"26-30 sts / 10 cm (4"") and 39 rows",100g; 366m (400 yds)
Berroco,Vento,DK / Light,Fuzzy / Fluffy,"Baby Alpaca (50%),Acrylic (40%),Merino Wool (10%)",3.75mm(5 US)(9 UK)4.5mm(7 US)(7 UK),"21-22 sts / 10 cm (4"") and 29 rows",50g; 200m (219 yds)
Berroco,Vintage,Worsted / Medium,Plied (3 or more plies),"Acrylic (52%),Superwash Wool (40%),Nylon (8%)",4.5mm(7 US)(7 UK)5mm(8 US)(6 UK),"18-20 sts / 10 cm (4"")",100g; 198m (217 yds)
Berroco,Vintage Baby,DK / Light,Plied (3 or more plies),"Acrylic (52%),Superwash Wool (40%),Nylon (8%)",4mm(6 US)(8 UK),"22 sts / 10 cm (4"") and 28 rows",50g; 133m (145 yds)
Berroco,Vintage Baby Handpaint,DK / Light,Plied (3 or more plies),"Acrylic (52%),Superwash Wool (40%),Nylon (8%)",4mm(6 US)(8 UK),"22 sts / 10 cm (4"") and 28 rows",50g; 133m (145 yds)
Berroco,Vintage Chunky,Bulky / Chunky,Plied (3 or more plies),"Acrylic (50%),Superwash Wool (40%),Nylon (10%)",6mm(10 US)(4 UK),"14 sts / 10 cm (4"")",100g; 120m (131 yds)
Berroco,Vintage DK,DK / Light,Plied (3 or more plies),"Acrylic (52%),Superwash Wool (40%),Nylon (8%)",4mm(6 US)(8 UK),"22 sts / 10 cm (4"")",100g; 265m (290 yds)
Berroco,Vintage Sock,Fingering / 4-ply / Super Fine,Plied (3 or more plies),"Acrylic (52%),Superwash Wool (40%),Nylon (8%)",2.75mm(2 US)(12 UK)3.5mm(4 US)( UK),"26-30 sts / 10 cm (4"")",100g; 400m (437 yds)
Berroco,Vivo,DK / Light,Slubby tweed,Cotton (100%),4mm(6 US)(8 UK),"22 sts / 10 cm (4"") and 30 rows",100g; 290m (317 yds)
Berroco,Wizard,Bulky / Chunky,Chained,"Merino Superwash Wool (85%),Nylon (15%)",6mm(10 US)(4 UK)6.5mm(10.5 US)(3 UK),"14-16 sts / 10 cm (4"")",100g; 240m (262 yds)
Brooklyn Tweed,Arbor,DK / Light,Plied (3 or more plies),Targhee Wool (100%),3.75mm(5 US)(9 UK)4.5mm(7 US)(7 UK),"21-24 sts / 10 cm (4"")",50g; 132m (144 yds)
Brooklyn Tweed,Dapple,DK / Light,Nubby / Tweedy,"Merino Wool (60%),Organic Cotton (40%)",3.75mm(5 US)(9 UK)4.5mm(7 US)(7 UK),"21-24 sts / 10 cm (4"")",50g; 150m (164 yds)
Brooklyn Tweed,Imbue Worsted,Worsted / Medium,Plied (3 or more plies),Merino Wool (100%),4.5mm(7 US)(7 UK)5.5mm(9 US)(5 UK),"18-20 sts / 10 cm (4"")",50g; 95m (104 yds)
Brooklyn Tweed,Loft,Fingering / 4-ply / Super Fine,Plied (woolen-spun),Targhee-Columbia Wool (100%),2mm(0 US)(14 UK)3.75mm(5 US)(9 UK),"24-30 sts / 10 cm (4"")",50g; 251m (274 yds)
Brooklyn Tweed,Quarry,Bulky / Chunky,Nubby / Tweedy,Targhee-Columbia Wool (100%),6mm(10 US)(4 UK)8mm(11 US)(0 UK),"12-14 sts / 10 cm (4"")",100g; 182m (199 yds)
Brooklyn Tweed,Re.Ply Rambouillet,DK / Light,Crepe / Cable-plied,Rambouillet Wool (100%),3.75mm(5 US)(9 UK)4.5mm(7 US)(7 UK),"21-24 sts / 10 cm (4"")",45g; 119m (130 yds)
Brooklyn Tweed,Shelter,Worsted / Medium,Plied (woolen-spun),Targhee-Columbia Wool (100%),4.5mm(7 US)(7 UK)5.5mm(9 US)(5 UK),"18-20 sts / 10 cm (4"")",50g; 128m (140 yds)
Brooklyn Tweed,Tones,Worsted / Medium,Plied (woolen-spun),Columbia Wool (100%),4.5mm(7 US)(7 UK)5.5mm(9 US)(5 UK),"17-20 sts / 10 cm (4"")",50g; 128m (140 yds)
Brooklyn Tweed,Tones Light,Fingering / 4-ply / Super Fine,Plied (woolen-spun),Columbia Wool (100%),2mm(0 US)(14 UK)3.5mm(4 US)( UK),"24-30 sts / 10 cm (4"")",50g; 206m (225 yds)
Brown Sheep,Burly Spun,Super Bulky / Super Chunky,Single ply,Wool (100%),9mm(13 US)(00 UK),"10 sts / 10 cm (4"")",226g; 121m (132 yds)
Brown Sheep,Cotton Fine,Sport / Fine,Plied (3 or more plies),"Cotton (80%),Merino Superwash Wool (20%)",2.75mm(2 US)(12 UK),"26 sts / 10 cm (4"")",50g; 203m (222 yds)
Brown Sheep,Cotton Fleece,Worsted / Medium,Plied with a tight twist,"Cotton (80%),Merino Wool (20%)",4mm(6 US)(8 UK),"20 sts / 10 cm (4"")",100g; 197m (215 yds)
Brown Sheep,Heritage Aran,Heavy Worsted,Plied (3 or more plies),Wool (100%),5.5mm(9 US)(5 UK),"16 sts / 10 cm (4"")",100g; 148m (162 yds)
Brown Sheep,Lamb's Pride Bulky,Super Bulky / Super Chunky,Single ply,"Wool (85%),Mohair (15%)",6.5mm(10.5 US)(3 UK),"12 sts / 10 cm (4"") and 18 rows",113g; 114m (125 yds)
Brown Sheep,Lamb's Pride Worsted,Aran / Medium,Single ply,"Wool (85%),Mohair (15%)",5mm(8 US)(6 UK),"18 sts / 10 cm (4"") and 24 rows",113g; 173m (189 yds)
Brown Sheep,Lana Bouclé,Aran / Medium,Single ply wrapped with fine thread,Wool (100%),5mm(8 US)(6 UK),"17 sts / 10 cm (4"")",100g; 164m (179 yds)
Brown Sheep,Lanaloft Bulky,Super Bulky / Super Chunky,Single ply,Wool (100%),6.5mm(10.5 US)(3 UK),"12 sts / 10 cm (4"")",200g; 146m (160 yds)
Brown Sheep,Lanaloft Sports Weight,Sport / Fine,Single ply,Wool (100%),3.75mm(5 US)(9 UK),"24 sts / 10 cm (4"")",50g; 133m (145 yds)
Brown Sheep,Lanaloft Worsted,Aran / Medium,Single ply,Wool (100%),5mm(8 US)(6 UK),"18 sts / 10 cm (4"")",100g; 146m (160 yds)
Brown Sheep,Nature Spun Chunky,Bulky / Chunky,Plied (3 or more plies),Wool (100%),6.5mm(10.5 US)(3 UK),"13 sts / 10 cm (4"")",200g; 142m (155 yds)
Brown Sheep,Nature Spun Fingering,Fingering / 4-ply / Super Fine,Plied (3 or more plies),Wool (100%),3.25mm(3 US)(10 UK),"28 sts / 10 cm (4"")",50g; 283m (309 yds)
Brown Sheep,Nature Spun Sport,Sport / Fine,Plied (3 or more plies),Wool (100%),3.75mm(5 US)(9 UK),"24 sts / 10 cm (4"")",50g; 168m (184 yds)
Brown Sheep,Nature Spun Worsted,Worsted / Medium,Plied (3 or more plies),Wool (100%),4.5mm(7 US)(7 UK),"20 sts / 10 cm (4"") and 24 rows",100g; 224m (245 yds)
Brown Sheep,Shepherd's Shades,Bulky / Chunky,Plied (3 or more plies),Wool (100%),5.5mm(9 US)(5 UK)6.5mm(10.5 US)(3 UK),"16 sts / 10 cm (4"")",100g; 120m (131 yds)
Brown Sheep,Stratosphere DK,DK / Light,Plied (3 or more plies),Superwash Wool (100%),4mm(6 US)(8 UK),"22 sts / 10 cm (4"")",100g; 238m (260 yds)
Brown Sheep,Top of the Lamb Sport,Sport / Fine,Single ply,Wool (100%),3.75mm(5 US)(9 UK),"24 sts / 10 cm (4"") and 32 rows",(Varies)
Brown Sheep,Top of the Lamb Worsted,Worsted / Medium,Single ply,Wool (100%),5mm(8 US)(6 UK),"20 sts / 10 cm (4"")",113g; 174m (190 yds)
Brown Sheep,Waverly Wool,Bulky / Chunky,Plied (3 or more plies),Wool (100%),6mm(10 US)(4 UK),"14 sts / 10 cm (4"")",113g; 149m (163 yds)
Brown Sheep,Wildfoote Luxury Sock,Fingering / 4-ply / Super Fine,Plied (3 or more plies),"Superwash Wool (75%),Nylon (25%)",2.25mm(1 US)(13 UK)2.75mm(2 US)(12 UK),"28-32 sts / 10 cm (4"")",50g; 196m (214 yds)
Caron,Big Cakes,Aran / Medium,Plied (3 or more plies),Acrylic (100%),5mm(8 US)(6 UK),"17 sts / 10 cm (4"") and 23 rows",300g; 551m (603 yds)
Caron,Big Donut O'Go,Aran / Medium,Plied (3 or more plies),Acrylic (100%),5mm(8 US)(6 UK),"17 sts / 10 cm (4"") and 23 rows",280g; 459m (502 yds)
Caron,Colorama Halo O'Go,Bulky / Chunky,Plied with a soft haze,"Acrylic (71%),Nylon (18%),Polyester (11%)",6mm(10 US)(4 UK),"15 sts / 10 cm (4"") and 20 rows",227g; 440m (481 yds)
Caron,Colorama O'Go,Bulky / Chunky,Plied (3 or more plies),Acrylic (100%),6mm(10 US)(4 UK),"13 sts / 10 cm (4"") and 18 rows",180g; 208m (227 yds)
Caron,Cotton Cakes,Worsted / Medium,S on S plied,"Cotton (60%),Acrylic (40%)",4.5mm(7 US)(7 UK),"20 sts / 10 cm (4"") and 26 rows",100g; 193m (211 yds)
Caron,Jumbo,Heavy Worsted,Plied (3 or more plies),Acrylic (100%),5mm(8 US)(6 UK),"16 sts / 10 cm (4"") and 20 rows",340g; 544m (595 yds)
Caron,One Pound,Aran / Medium,Plied (3 or more plies),Acrylic (100%),5mm(8 US)(6 UK),"16 sts / 10 cm (4"") and 20 rows",454g; 742m (811 yds)
Caron,Simply Soft,Aran / Medium,Plied (3 or more plies),Acrylic (100%),5mm(8 US)(6 UK),"18 sts / 10 cm (4"") and 24 rows",(Varies)
Caron,Simply Soft Party,Aran / Medium,Plied (3 or more plies),"Acrylic (99%),Metallic (1%)",5mm(8 US)(6 UK),"18 sts / 10 cm (4"") and 24 rows",85g; 150m (164 yds)
Caron,Simply Soft Tweeds,Aran / Medium,Nubby / Tweedy,"Acrylic (97%),Viscose (3%)",5mm(8 US)(6 UK),"18 sts / 10 cm (4"") and 24 rows",141g; 228m (249 yds)
Caron,Sprinkle Cakes,Super Bulky / Super Chunky,Nubby / Tweedy,"Acrylic (80%),Wool (20%)",8mm(11 US)(0 UK),"11 sts / 10 cm (4"") and 14 rows",240g; 186m (203 yds)
Cascade Yarns,220 Superwash Fingering,Fingering / 4-ply / Super Fine,Plied (3 or more plies),Merino Superwash Wool (100%),2.25mm(1 US)(13 UK)3.25mm(3 US)(10 UK),"28-32 sts / 10 cm (4"")",50g; 200m (219 yds)
