brand_name,yarn_name,texture,weight,fiber_type_1,fiber_type_2,fiber_type_3,fiber_type_4,fiber_type_5,fiber_qty_1,fiber_qty_2,fiber_qty_3,fiber_qty_4,fiber_qty_5,needles,gauge_sts,gauge_rows,ball_weight_g,ball_size_m
Berroco,Macro,Single ply,Jumbo,Wool,Acrylic,Alpaca,NaN,NaN,50,40,10,NaN,NaN,15mm,6 sts, 8 rows,250, 102
Berroco,Medina,Plied (3 or more plies),DK,Cotton,Acrylic,Viscose,NaN,NaN,37,36,27,NaN,NaN,4mm,22 sts, 28 rows,100, 270
Berroco,Meraki,Slubby tweed,DK,Cotton,Hemp,Polyester,NaN,NaN,71,24,5,NaN,NaN,3.75mm,22 sts, 30 rows,50, 120
Berroco,Mercado,2 ply,Aran,Highland,NaN,NaN,NaN,NaN,100,NaN,NaN,NaN,NaN,4mm,16 sts, 19 rows,100, 150
Berroco,Millefiori Light,Single ply,Sport,Acrylic,Wool,NaN,NaN,NaN,50,50,NaN,NaN,NaN,3.5mm,24 sts, 32 rows,100, 320
Berroco,Mistico,Fuzzy / Fluffy,Worsted,Cotton,Alpaca,Wool,Nylon,NaN,48,30,12,10,NaN,3.75mm,21 sts,NaN,50, 175
Berroco,Mochi,Blown / Fiber-filled net,Aran,Baby,Nylon,Merino,Synthetic,NaN,37,35,26,2,NaN,5.5mm,16 sts, 24 rows,50, 175
Berroco,Modern Cotton,S on S plied,Worsted,Cotton,Rayon,NaN,NaN,NaN,60,40,NaN,NaN,NaN,4.5mm,20 sts, 26 rows,100, 191
Berroco,Modern Cotton DK,S on S plied,DK,Cotton,Rayon,NaN,NaN,NaN,60,40,NaN,NaN,NaN,3.75mm,23 sts, 32 rows,100, 306
Berroco,Pima 100,Plied (3 or more plies),Worsted,Cotton,NaN,NaN,NaN,NaN,100,NaN,NaN,NaN,NaN,4mm,20 sts, 28 rows,100, 200
Berroco,Pima Soft,2 ply,DK,Cotton,NaN,NaN,NaN,NaN,100,NaN,NaN,NaN,NaN,3.75mm,22 sts, 29 rows,50, 113
Berroco,Remix,Nubby / Tweedy,Aran,Nylon,Cotton,Acrylic,Silk,Linen,30,27,24,10,9,5mm,17 sts,NaN,100, 198
Berroco,Remix Chunky,Nubby / Tweedy,Bulky,Nylon,Cotton,Acrylic,Silk,Linen,30,27,24,10,9,6mm,14 sts, 20 rows,100, 127
Berroco,Remix Light,Nubby / Tweedy,DK,Nylon,Cotton,Acrylic,Silk,Linen,30,27,24,10,9,3.75mm,28 sts, 32 rows,100, 400
Berroco,Renew,Plied (3 or more plies),Worsted,Viscose,Nylon,Wool,Cashmere,NaN,35,30,30,5,NaN,4mm,21 sts,NaN,50, 150
Berroco,Sesame,Nubby / Tweedy,Worsted,Superwash,Acrylic,Cotton,Nylon,NaN,43,39,9,9,NaN,4.5mm,20 sts, 25 rows,100, 210
Berroco,Sox,Plied (3 or more plies),Light Fingering,Superwash,Nylon,NaN,NaN,NaN,75,25,NaN,NaN,NaN,2.75mm,30 sts,NaN,100, 402
Berroco,Splash,Chained,DK,Viscose,Organic,NaN,NaN,NaN,70,30,NaN,NaN,NaN,4mm,23 sts,NaN,50, 120
Berroco,Spree DK,Plied (3 or more plies),DK,Wool,Cotton,NaN,NaN,NaN,56,44,NaN,NaN,NaN,3.75mm,23 sts, 29 rows,50, 130
Berroco,Summer Sesame,Nubby / Tweedy,Worsted,Cotton,Acrylic,Nylon,NaN,NaN,47,44,9,NaN,NaN,4mm,21 sts, 29 rows,100, 270
Berroco,Talara,Chained,Aran,Llama,NaN,NaN,NaN,NaN,100,NaN,NaN,NaN,NaN,5.5mm,19 sts,NaN,50, 120
Berroco,Tiramisu,Single ply,Worsted,Wool,Acrylic,Superkid,Silk,NaN,38,28,23,11,NaN,4.5mm,20 sts, 25 rows,50, 125
Berroco,Ultra Alpaca,Plied with a soft haze,Worsted,Highland,Superfine,NaN,NaN,NaN,50,50,NaN,NaN,NaN,4.5mm,20 sts, 26 rows,NaN,NaN
Berroco,Ultra Alpaca Chunky,2 ply,Bulky,Alpaca,Highland,NaN,NaN,NaN,50,50,NaN,NaN,NaN,6mm,14 sts, 20 rows,100, 120
Berroco,Ultra Alpaca Light,Plied with a soft haze,Sport,Alpaca,Highland,NaN,NaN,NaN,50,50,NaN,NaN,NaN,3.75mm,23 sts, 32 rows,50, 133
Berroco,Ultra Wool,Plied (3 or more plies),Worsted,Superwash,NaN,NaN,NaN,NaN,100,NaN,NaN,NaN,NaN,4.5mm,20 sts, 25 rows,100, 200
Berroco,Ultra Wool Chunky,Plied (3 or more plies),Bulky,Superwash,NaN,NaN,NaN,NaN,100,NaN,NaN,NaN,NaN,6.5mm,14 sts, 20 rows,100, 133
Berroco,Ultra Wool DK,Plied (3 or more plies),DK,Superwash,NaN,NaN,NaN,NaN,100,NaN,NaN,NaN,NaN,4mm,23 sts, 30 rows,100, 267
Berroco,Ultra Wool Fine,Plied (3 or more plies),Fingering,Superwash,NaN,NaN,NaN,NaN,100,NaN,NaN,NaN,NaN,2.75mm,30 sts, 39 rows,100, 366
Berroco,Vento,Fuzzy / Fluffy,DK,Baby,Acrylic,Merino,NaN,NaN,50,40,10,NaN,NaN,3.75mm,22 sts, 29 rows,50, 200
Berroco,Vintage,Plied (3 or more plies),Worsted,Acrylic,Superwash,Nylon,NaN,NaN,52,40,8,NaN,NaN,4.5mm,20 sts,NaN,100, 198
Berroco,Vintage Baby,Plied (3 or more plies),DK,Acrylic,Superwash,Nylon,NaN,NaN,52,40,8,NaN,NaN,4mm,22 sts, 28 rows,50, 133
Berroco,Vintage Baby Handpaint,Plied (3 or more plies),DK,Acrylic,Superwash,Nylon,NaN,NaN,52,40,8,NaN,NaN,4mm,22 sts, 28 rows,50, 133
Berroco,Vintage Chunky,Plied (3 or more plies),Bulky,Acrylic,Superwash,Nylon,NaN,NaN,50,40,10,NaN,NaN,6mm,14 sts,NaN,100, 120
Berroco,Vintage DK,Plied (3 or more plies),DK,Acrylic,Superwash,Nylon,NaN,NaN,52,40,8,NaN,NaN,4mm,22 sts,NaN,100, 265
Berroco,Vintage Sock,Plied (3 or more plies),Fingering,Acrylic,Superwash,Nylon,NaN,NaN,52,40,8,NaN,NaN,2.75mm,30 sts,NaN,100, 400
Berroco,Vivo,Slubby tweed,DK,Cotton,NaN,NaN,NaN,NaN,100,NaN,NaN,NaN,NaN,4mm,22 sts, 30 rows,100, 290
Berroco,Wizard,Chained,Bulky,Merino,Nylon,NaN,NaN,NaN,85,15,NaN,NaN,NaN,6mm,16 sts,NaN,100, 240
Brooklyn Tweed,Arbor,Plied (3 or more plies),DK,Targhee,NaN,NaN,NaN,NaN,100,NaN,NaN,NaN,NaN,3.75mm,24 sts,NaN,50, 132
Brooklyn Tweed,Dapple,Nubby / Tweedy,DK,Merino,Organic,NaN,NaN,NaN,60,40,NaN,NaN,NaN,3.75mm,24 sts,NaN,50, 150
Brooklyn Tweed,Imbue Worsted,Plied (3 or more plies),Worsted,Merino,NaN,NaN,NaN,NaN,100,NaN,NaN,NaN,NaN,4.5mm,20 sts,NaN,50, 95
Brooklyn Tweed,Loft,Plied (woolen-spun),Fingering,Targhee,NaN,NaN,NaN,NaN,100,NaN,NaN,NaN,NaN,2mm,30 sts,NaN,50, 251
Brooklyn Tweed,Quarry,Nubby / Tweedy,Bulky,Targhee,NaN,NaN,NaN,NaN,100,NaN,NaN,NaN,NaN,6mm,14 sts,NaN,100, 182
Brooklyn Tweed,Re.Ply Rambouillet,Crepe / Cable-plied,DK,Rambouillet,NaN,NaN,NaN,NaN,100,NaN,NaN,NaN,NaN,3.75mm,24 sts,NaN,45, 119
Brooklyn Tweed,Shelter,Plied (woolen-spun),Worsted,Targhee,NaN,NaN,NaN,NaN,100,NaN,NaN,NaN,NaN,4.5mm,20 sts,NaN,50, 128
Brooklyn Tweed,Tones,Plied (woolen-spun),Worsted,Columbia,NaN,NaN,NaN,NaN,100,NaN,NaN,NaN,NaN,4.5mm,20 sts,NaN,50, 128
Brooklyn Tweed,Tones Light,Plied (woolen-spun),Fingering,Columbia,NaN,NaN,NaN,NaN,100,NaN,NaN,NaN,NaN,2mm,30 sts,NaN,50, 206
Brown Sheep,Burly Spun,Single ply,Super Bulky,Wool,NaN,NaN,NaN,NaN,100,NaN,NaN,NaN,NaN,9mm,10 sts,NaN,226, 121
Brown Sheep,Cotton Fine,Plied (3 or more plies),Sport,Cotton,Merino,NaN,NaN,NaN,80,20,NaN,NaN,NaN,2.75mm,26 sts,NaN,50, 203
Brown Sheep,Cotton Fleece,Plied with a tight twist,Worsted,Cotton,Merino,NaN,NaN,NaN,80,20,NaN,NaN,NaN,4mm,20 sts,NaN,100, 197
Brown Sheep,Heritage Aran,Plied (3 or more plies),Aran,Wool,NaN,NaN,NaN,NaN,100,NaN,NaN,NaN,NaN,5.5mm,16 sts,NaN,100, 148
Brown Sheep,Lamb's Pride Bulky,Single ply,Super Bulky,Wool,Mohair,NaN,NaN,NaN,85,15,NaN,NaN,NaN,6.5mm,12 sts, 18 rows,113, 114
Brown Sheep,Lamb's Pride Worsted,Single ply,Aran,Wool,Mohair,NaN,NaN,NaN,85,15,NaN,NaN,NaN,5mm,18 sts, 24 rows,113, 173
Brown Sheep,Lana Bouclé,Single ply wrapped with fine thread,Aran,Wool,NaN,NaN,NaN,NaN,100,NaN,NaN,NaN,NaN,5mm,17 sts,NaN,100, 164
Brown Sheep,Lanaloft Bulky,Single ply,Super Bulky,Wool,NaN,NaN,NaN,NaN,100,NaN,NaN,NaN,NaN,6.5mm,12 sts,NaN,200, 146
Brown Sheep,Lanaloft Sports Weight,Single ply,Sport,Wool,NaN,NaN,NaN,NaN,100,NaN,NaN,NaN,NaN,3.75mm,24 sts,NaN,50, 133
Brown Sheep,Lanaloft Worsted,Single ply,Aran,Wool,NaN,NaN,NaN,NaN,100,NaN,NaN,NaN,NaN,5mm,18 sts,NaN,100, 146
Brown Sheep,Nature Spun Chunky,Plied (3 or more plies),Bulky,Wool,NaN,NaN,NaN,NaN,100,NaN,NaN,NaN,NaN,6.5mm,13 sts,NaN,200, 142
Brown Sheep,Nature Spun Fingering,Plied (3 or more plies),Fingering,Wool,NaN,NaN,NaN,NaN,100,NaN,NaN,NaN,NaN,3.25mm,28 sts,NaN,50, 283
Brown Sheep,Nature Spun Sport,Plied (3 or more plies),Sport,Wool,NaN,NaN,NaN,NaN,100,NaN,NaN,NaN,NaN,3.75mm,24 sts,NaN,50, 168
Brown Sheep,Nature Spun Worsted,Plied (3 or more plies),Worsted,Wool,NaN,NaN,NaN,NaN,100,NaN,NaN,NaN,NaN,4.5mm,20 sts, 24 rows,100, 224
Brown Sheep,Shepherd's Shades,Plied (3 or more plies),Bulky,Wool,NaN,NaN,NaN,NaN,100,NaN,NaN,NaN,NaN,5.5mm,16 sts,NaN,100, 120
Brown Sheep,Stratosphere DK,Plied (3 or more plies),DK,Superwash,NaN,NaN,NaN,NaN,100,NaN,NaN,NaN,NaN,4mm,22 sts,NaN,100, 238
Brown Sheep,Top of the Lamb Sport,Single ply,Sport,Wool,NaN,NaN,NaN,NaN,100,NaN,NaN,NaN,NaN,3.75mm,24 sts, 32 rows,NaN,NaN
Brown Sheep,Top of the Lamb Worsted,Single ply,Worsted,Wool,NaN,NaN,NaN,NaN,100,NaN,NaN,NaN,NaN,5mm,20 sts,NaN,113, 174
Brown Sheep,Waverly Wool,Plied (3 or more plies),Bulky,Wool,NaN,NaN,NaN,NaN,100,NaN,NaN,NaN,NaN,6mm,14 sts,NaN,113, 149
Brown Sheep,Wildfoote Luxury Sock,Plied (3 or more plies),Fingering,Superwash,Nylon,NaN,NaN,NaN,75,25,NaN,NaN,NaN,2.25mm,32 sts,NaN,50, 196
Caron,Big Cakes,Plied (3 or more plies),Aran,Acrylic,NaN,NaN,NaN,NaN,100,NaN,NaN,NaN,NaN,5mm,17 sts, 23 rows,300, 551
Caron,Big Donut O'Go,Plied (3 or more plies),Aran,Acrylic,NaN,NaN,NaN,NaN,100,NaN,NaN,NaN,NaN,5mm,17 sts, 23 rows,280, 459
Caron,Colorama Halo O'Go,Plied with a soft haze,Bulky,Acrylic,Nylon,Polyester,NaN,NaN,71,18,11,NaN,NaN,6mm,15 sts, 20 rows,227, 440
Caron,Colorama O'Go,Plied (3 or more plies),Bulky,Acrylic,NaN,NaN,NaN,NaN,100,NaN,NaN,NaN,NaN,6mm,13 sts, 18 rows,180, 208
Caron,Cotton Cakes,S on S plied,Worsted,Cotton,Acrylic,NaN,NaN,NaN,60,40,NaN,NaN,NaN,4.5mm,20 sts, 26 rows,100, 193
Caron,Jumbo,Plied (3 or more plies),Aran,Acrylic,NaN,NaN,NaN,NaN,100,NaN,NaN,NaN,NaN,5mm,16 sts, 20 rows,340, 544
Caron,One Pound,Plied (3 or more plies),Aran,Acrylic,NaN,NaN,NaN,NaN,100,NaN,NaN,NaN,NaN,5mm,16 sts, 20 rows,454, 742
Caron,Simply Soft,Plied (3 or more plies),Aran,Acrylic,NaN,NaN,NaN,NaN,100,NaN,NaN,NaN,NaN,5mm,18 sts, 24 rows,NaN,NaN
Caron,Simply Soft Party,Plied (3 or more plies),Aran,Acrylic,Metallic,NaN,NaN,NaN,99,1,NaN,NaN,NaN,5mm,18 sts, 24 rows,85, 150
Caron,Simply Soft Tweeds,Nubby / Tweedy,Aran,Acrylic,Viscose,NaN,NaN,NaN,97,3,NaN,NaN,NaN,5mm,18 sts, 24 rows,141, 228
Caron,Sprinkle Cakes,Nubby / Tweedy,Super Bulky,Acrylic,Wool,NaN,NaN,NaN,80,20,NaN,NaN,NaN,8mm,11 sts, 14 rows,240, 186
Cascade Yarns,220 Superwash Fingering,Plied (3 or more plies),Fingering,Merino,NaN,NaN,NaN,NaN,100,NaN,NaN,NaN,NaN,2.25mm,32 sts,NaN,50, 200
Cascade Yarns,220 Superwash Grande,Plied (3 or more plies),Bulky,Superwash,NaN,NaN,NaN,NaN,100,NaN,NaN,NaN,NaN,6mm,15 sts,NaN,200, 201
Cascade Yarns,Aegean Tweed,Nubby / Tweedy,Sport,Wool,NaN,NaN,NaN,NaN,100,NaN,NaN,NaN,NaN,3.75mm,24 sts,NaN,100, 300
Cascade Yarns,Alpaca Lace,2 ply,Lace,Alpaca,NaN,NaN,NaN,NaN,100,NaN,NaN,NaN,NaN,2.75mm,NaN,NaN,50, 400
Cascade Yarns,Anchor Bay,S on S plied,DK,Cotton,Superwash,NaN,NaN,NaN,50,50,NaN,NaN,NaN,4mm,22 sts,NaN,100, 240
Cascade Yarns,Anthem,Plied (3 or more plies),Aran,Acrylic,NaN,NaN,NaN,NaN,100,NaN,NaN,NaN,NaN,5mm,18 sts,NaN,100, 170
Cascade Yarns,Anthem Chunky,Plied (3 or more plies),Bulky,Acrylic,NaN,NaN,NaN,NaN,100,NaN,NaN,NaN,NaN,5mm,14 sts,NaN,200, 200
Cascade Yarns,Anthem DK,Plied (3 or more plies),DK,Acrylic,NaN,NaN,NaN,NaN,100,NaN,NaN,NaN,NaN,3.75mm,22 sts,NaN,100, 227
Cascade Yarns,Anthem Rondo,Plied (3 or more plies),Aran,Acrylic,NaN,NaN,NaN,NaN,100,NaN,NaN,NaN,NaN,5mm,18 sts,NaN,200, 340
Cascade Yarns,BFL,Plied (3 or more plies),DK,Blue,NaN,NaN,NaN,NaN,100,NaN,NaN,NaN,NaN,3.75mm,24 sts,NaN,100, 240
Cascade Yarns,Baby Alpaca Chunky,2 ply,Bulky,Baby,NaN,NaN,NaN,NaN,100,NaN,NaN,NaN,NaN,6mm,14 sts,NaN,100, 99
Cascade Yarns,Big Wheel,Plied (3 or more plies),Super Bulky,Acrylic,NaN,NaN,NaN,NaN,100,NaN,NaN,NaN,NaN,8mm,12 sts,NaN,200, 186
Cascade Yarns,Cantata,Blown / Fiber-filled net,Aran,Cotton,Merino,NaN,NaN,NaN,70,30,NaN,NaN,NaN,5.5mm,18 sts,NaN,100, 200
Cascade Yarns,Cartwheel,Plied (3 or more plies),Bulky,Acrylic,NaN,NaN,NaN,NaN,100,NaN,NaN,NaN,NaN,6mm,14 sts,NaN,200, 300
Cascade Yarns,Cascade 128 Superwash,2 ply,Bulky,Merino,NaN,NaN,NaN,NaN,100,NaN,NaN,NaN,NaN,6mm,14 sts,NaN,100, 117
Cascade Yarns,Cascade 220,Plied (3 or more plies),Worsted,Highland,NaN,NaN,NaN,NaN,100,NaN,NaN,NaN,NaN,4.5mm,20 sts,NaN,100, 200
Cascade Yarns,Cascade 220 Fingering,2 ply,Fingering,Highland,NaN,NaN,NaN,NaN,100,NaN,NaN,NaN,NaN,2.25mm,32 sts,NaN,50, 250
Cascade Yarns,Cascade 220 Grande,Plied (3 or more plies),Bulky,Highland,NaN,NaN,NaN,NaN,100,NaN,NaN,NaN,NaN,6mm,15 sts,NaN,200, 201
Cascade Yarns,Cascade 220 Merino,Plied (3 or more plies),Worsted,Merino,NaN,NaN,NaN,NaN,100,NaN,NaN,NaN,NaN,4.5mm,20 sts,NaN,100, 201
Cascade Yarns,Cascade 220 Sport,2 ply,Sport,Highland,NaN,NaN,NaN,NaN,100,NaN,NaN,NaN,NaN,3.75mm,24 sts,NaN,50, 150
Cascade Yarns,Cascade 220 Superwash,Plied (3 or more plies),Worsted,Superwash,NaN,NaN,NaN,NaN,100,NaN,NaN,NaN,NaN,4mm,22 sts,NaN,100, 200
